District,Hospital_Name,Total_beds,Total Patients,Vacant_beds,Last_Updated
State level,M R Bangur DH & SSH,603,464,139,25.04.2021
State level,CNCI,425,300,125,25.04.2021
State level,CNMCH,50,55,0,25.04.2021
State level,AMRI Salt Lake,25,0,25,25.04.2021
State level,"Desun Hospital, Kolkata",25,6,19,25.04.2021
State level,ID BG,315,305,10,25.04.2021
State level,K. S. Roy TB Hospital,130,91,39,25.04.2021
State level,Kolkata Medical College,300,245,55,25.04.2021
State level,N R S Medical College & Hospital,110,112,0,25.04.2021
State level,R G Kar MCH,60,90,0,25.04.2021
State level,KPC Medical College,200,186,14,25.04.2021
Alipurduar,"Integrated Ayush (COVID 19)Hospital, Tapsikhata",110,0,110,25.04.2021
Alipurduar,Alipurduar DH,15,7,8,25.04.2021
Bankura,Onda SSH,250,171,79,25.04.2021
Basirhat HD,Al Amin Gopalpur Nursing Home,10,0,10,25.04.2021
Birbhum,"Glocal Hospital, Birbhum",90,73,17,25.04.2021
Birbhum,Niramoy TB Sanitorium,100,54,46,25.04.2021
Coochbehar,Cooch Behar Mission Hospital,10,0,10,25.04.2021
Coochbehar,Dinhata SDH,32,13,19,25.04.2021
Coochbehar,Youth Hostel Rajbari Stadium,80,0,80,25.04.2021
Dakshin Dinajpur,Natya Utkarsha Kendra,80,23,57,25.04.2021
Darjeeling,NBMCH,110,62,48,25.04.2021
Diamond Harbour,Diamond Harbour GMCH,80,72,8,25.04.2021
Hooghly,Arambagh SSH,100,10,90,25.04.2021
Hooghly,"ESI Hospital, Bandel",250,69,181,25.04.2021
Hooghly,"Chandannagar SDH, Covid IsolationUnit",30,10,20,25.04.2021
Hooghly,Imambara DH,151,27,124,25.04.2021
Hooghly,Singur Trauma Care Centre,100,37,63,25.04.2021
Hooghly,Uttarpara SGH,40,9,31,25.04.2021
Howrah,"ILS, Golabari",30,0,30,25.04.2021
Howrah,Satyabala IDH,25,38,0,25.04.2021
Howrah,"ESI Hospital, Baltikuri",400,206,194,25.04.2021
Howrah,TLJ Hospital,250,135,115,25.04.2021
Jalpaiguri,Biswabangla Krirangan (SportsComplex),300,210,90,25.04.2021
Jhargram,Jhargram Night Shelter,75,0,75,25.04.2021
Jhargram,Jhargram Working Women Hostel,75,0,75,25.04.2021
Kalimpong,Triveni Hospital,150,52,98,25.04.2021
Malda,Trauma Care Centre,150,118,32,25.04.2021
Murshidabad,Old Matri Sadan Hospital,300,144,156,25.04.2021
Murshidabad,Khristio Seba Sadan,100,54,46,25.04.2021
Nadia,"Glocal Hospital, Nadia",10,0,10,25.04.2021
Nadia,"Netaji Subhas Sanitorium, Kalyani",300,218,82,25.04.2021
Nandigram HealthDistrict,Chandipur Multi Speciality Hospital,130,163,0,25.04.2021
North 24 Pgs,Ashoknagar SGH,60,65,0,25.04.2021
North 24 Pgs,GNRC,33,11,22,25.04.2021
North 24 Pgs,Gobardanga RH Covid Hospital,50,25,25,25.04.2021
North 24 Pgs,Nehru Memorial Techno Global,50,75,0,25.04.2021
North 24 Pgs,Naihati SGH,90,82,8,25.04.2021
North 24 Pgs,COM & Sagar Datta Hospital,500,189,311,25.04.2021
North 24 Pgs,Sree Balaram Seva Mandir SGH,80,72,8,25.04.2021
PaschimBardhaman,Sanaka Hospital,200,129,71,25.04.2021
Paschim Medinipur,Midnapore Medical College Hospital,30,19,11,25.04.2021
Paschim Medinipur,"AYUSH Corona Hospital, PaschimMedinipore",100,0,100,25.04.2021
Paschim Medinipur,AYUSH Satellite Hospital,100,0,100,25.04.2021
Paschim Medinipur,Debra RH Covid Hospital,40,0,40,25.04.2021
Paschim Medinipur,Salboni SSH,200,57,143,25.04.2021
Paschim Medinipur,Kharagpur SDH,50,22,28,25.04.2021
Paschim Medinipur,Ghatal SDH Covid Hospital,80,25,55,25.04.2021
Purba Burdwan,Bardhaman Medical College &Hospital,120,45,75,25.04.2021
Purba Burdwan,Krishi Bhavan Covid Hospital,100,72,28,25.04.2021
Purba Mednipur,Baroma Multi speciality Hospital,10,0,10,25.04.2021
Purulia,Hatuara SSH,93,89,4,25.04.2021
Rampurhat HD,Rampurhat Govt Medical College &Hospital,44,86,0,25.04.2021
Rampurhat HD,RMYF Royal Nursing Home &Diagnostic,44,0,44,25.04.2021
South 24 Parganas,Canning Covid Hospital (Stadium),55,35,20,25.04.2021
Uttar Dinajpur,Islampur Urdu Academy,100,25,75,25.04.2021
Uttar Dinajpur,Raiganj Govt MCH,15,42,0,25.04.2021
Uttar Dinajpur,Mikki Megha Hospital,50,0,50,25.04.2021
